Filename,Timestamp,Count of Audible Words,Words Out of Order,Longest Consecutive Count
09-30-2021 01-36-31.wav,2021-09-30T01:36:31,0,False,0
09-30-2021 01-28-31.wav,2021-09-30T01:28:31,0,False,0
09-30-2021 03-30-07.wav,2021-09-30T03:30:07,10,False,10
09-30-2021 01-24-31.wav,2021-09-30T01:24:31,0,False,0
09-30-2021 03-22-07.wav,2021-09-30T03:22:07,8,False,8
09-30-2021 01-12-31.wav,2021-09-30T01:12:31,0,False,0
09-30-2021 00-46-07.wav,2021-09-30T00:46:07,10,False,10
09-30-2021 02-40-31.wav,2021-09-30T02:40:31,0,False,0
09-30-2021 00-58-07.wav,2021-09-30T00:58:07,10,False,10
09-30-2021 03-14-07.wav,2021-09-30T03:14:07,10,False,10
09-30-2021 03-18-07.wav,2021-09-30T03:18:07,10,False,10
09-30-2021 01-00-31.wav,2021-09-30T01:00:31,4,False,4
09-30-2021 00-54-07.wav,2021-09-30T00:54:07,0,False,0
09-30-2021 02-52-31.wav,2021-09-30T02:52:31,10,False,10
09-30-2021 03-06-07.wav,2021-09-30T03:06:07,10,False,10
09-30-2021 00-02-55.wav,2021-09-30T00:02:55,10,False,10
09-30-2021 02-35-43.wav,2021-09-30T02:35:43,0,False,0
09-30-2021 03-29-19.wav,2021-09-30T03:29:19,10,False,10
09-30-2021 00-10-55.wav,2021-09-30T00:10:55,0,False,0
09-30-2021 02-27-43.wav,2021-09-30T02:27:43,10,False,10
09-30-2021 03-25-19.wav,2021-09-30T03:25:19,5,False,5
09-30-2021 02-39-43.wav,2021-09-30T02:39:43,10,False,10
09-30-2021 00-26-55.wav,2021-09-30T00:26:55,0,False,0
2830-3980-0043.wav,None,0,False,0
09-30-2021 00-41-19.wav,2021-09-30T00:41:19,10,False,10
09-30-2021 02-11-43.wav,2021-09-30T02:11:43,0,False,0
09-30-2021 00-38-55.wav,2021-09-30T00:38:55,10,False,10
09-30-2021 01-43-43.wav,2021-09-30T01:43:43,10,False,10
09-30-2021 03-13-19.wav,2021-09-30T03:13:19,10,False,10
09-30-2021 00-34-55.wav,2021-09-30T00:34:55,10,False,10
09-30-2021 02-03-43.wav,2021-09-30T02:03:43,0,False,0
09-30-2021 00-53-19.wav,2021-09-30T00:53:19,0,False,0
09-30-2021 03-01-19.wav,2021-09-30T03:01:19,0,False,0
